,3,6,9,12,15,25,50,75,100,150,200,250,300,400,600,800,1000
0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06
0.5,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1
1.0,0.11,0.11,0.11,0.11,0.12,0.13,0.14,0.14,0.16,0.17,0.18,0.18,0.19,0.2,0.2,0.2,0.2
2.0,0.17,0.17,0.17,0.17,0.19,0.22,0.25,0.27,0.29,0.31,0.33,0.33,0.35,0.37,0.41,0.44,0.47
3.0,0.22,0.22,0.22,0.22,0.25,0.32,0.4,0.47,0.53,0.58,0.62,0.62,0.69,0.74,0.86,0.99,1.1
4.0,0.26,0.26,0.26,0.26,0.31,0.4,0.49,0.58,0.65,0.72,0.77,0.77,0.8,0.86,0.99,1.1,1.19
5.0,0.3,0.3,0.3,0.3,0.37,0.49,0.58,0.65,0.72,0.85,0.93,0.93,1.01,1.13,1.33,1.49,1.63
6.0,0.34,0.34,0.34,0.34,0.43,0.58,0.74,0.91,1.04,1.16,1.25,1.25,1.31,1.42,1.69,1.91,2.11
8.0,0.42,0.42,0.42,0.42,0.53,0.74,0.97,1.19,1.38,1.62,1.77,1.77,1.89,2.03,2.47,2.83,3.15
10.0,0.46,0.48,0.5,0.51,0.67,0.97,1.3,1.53,1.79,2.15,2.44,2.44,2.61,2.84,3.5,4.06,4.56
12.0,0.47,0.53,0.58,0.61,0.84,1.23,1.61,1.99,2.23,2.61,2.95,2.95,3.26,3.81,4.75,5.56,6.28
14.0,0.48,0.58,0.65,0.7,1.0,1.48,2.0,2.48,2.84,3.25,3.69,3.69,4.09,4.82,6.07,7.15,8.11
16.0,0.49,0.63,0.72,0.79,1.15,1.73,2.28,2.82,3.26,3.9,4.45,4.45,4.95,5.86,7.43,8.79,9.93
20.0,0.52,0.71,0.85,0.96,1.45,2.22,2.85,3.45,3.97,4.9,5.4,5.4,5.97,7.97,10.23,12.2,13.9
25.0,0.56,0.81,1.0,1.16,1.81,2.82,3.65,4.39,5.34,6.83,7.88,7.88,8.86,10.65,13.3,15.54,19.13
30.0,0.59,0.89,1.13,1.34,2.15,3.39,4.42,5.34,6.24,7.88,9.76,9.76,11.01,13.3,17.37,20.99,24.31
40.0,0.65,1.05,1.38,1.68,2.77,4.45,5.87,7.14,8.11,11.47,13.37,13.37,15.14,18.43,23.17,29.6,34.48
50.0,0.71,1.18,1.59,1.97,3.32,5.4,7.2,8.78,10.23,14.26,16.67,16.67,18.94,23.17,30.78,37.65,44.02
60.0,0.76,1.3,1.78,2.23,3.81,6.24,8.33,10.23,11.01,16.63,19.64,19.64,22.36,27.45,36.63,44.96,52.7
